track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Rapture (feat.Nadia Ali),0.661,0.855,8.0,-8.403,1.0,0.0377,0.0722,0.0185,0.199,0.601,123.943,4.0
Have You Ever,0.585,0.702,5.930596285434995,-5.734,1.0,0.0325,0.538,0.03046073657362849,0.216,0.51,139.909,4.0
Lovin' Each Day,0.541,0.899,1.0,-6.261,1.0,0.0633,0.0178,2.95e-06,0.286,0.829,106.676,4.0
Queen of My Heart - Radio Edit,0.514,0.497,11.0,-6.071,1.0,0.0264,0.146,0.03046073657362849,0.13,0.316,109.085,3.0
It's Over Now,0.66,0.71,1.0,-4.541,1.0,0.0409,0.0106,7.01e-06,0.0736,0.233,97.988,4.0
Heaven Is a Halfpipe (If I Die),0.743,0.894,8.0,-6.886,1.0,0.0349,0.0755,0.00283,0.367,0.77,95.9,4.0
Stutter (feat. Mystikal) - Double Take Remix,0.767,0.759,6.0,-6.516,1.0,0.117,0.0513,0.03046073657362849,0.31,0.677,89.989,4.0
Love,0.569,0.385,1.0,-9.919,1.0,0.0499,0.342,0.03046073657362849,0.0876,0.339,99.738,4.0
Point of View - Radio Edit,0.676,0.715,6.0,-6.854,1.0,0.0287,0.00283,0.0767,0.0685,0.275,129.006,4.0
Play,0.775,0.729,1.0,-4.229,1.0,0.162,0.0303,0.00247,0.0361,0.895,104.719,4.0
No More (Baby I'ma Do Right),0.721,0.723,2.0,-7.08,1.0,0.0631,0.102,4.4e-06,0.0651,0.761,88.933,4.0
Eternal Flame - Single Version,0.578,0.581,5.930596285434995,-6.867,1.0,0.0318,0.0658,0.0042,0.0674,0.408,83.293,4.0
No More Drama,0.653,0.837,6.0,-6.818,1.0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,4.0
One Minute Man (feat. Ludacris),0.622,0.669,9.0,-8.419,1.0,0.329,0.0266,2.97e-06,0.152,0.57,93.839,4.0
Romeo,0.702,0.842,2.0,-4.157,1.0,0.0487,0.00709,0.00112,0.136,0.843,126.845,4.0
AM To PM,0.872,0.868,10.0,-3.036,1.0,0.12,0.153,2.26e-05,0.843,0.822,105.005,4.0
Do You Really Like It? - Radio Edit,0.847,0.877,2.0,-5.424,1.0,0.0493,0.124,0.03046073657362849,0.148,0.764,131.044,4.0
We Come 1 - Radio Edit,0.645,0.903,5.0,-10.587,1.0,0.0441,0.00188,0.799,0.147,0.61,135.977,4.0
Here's to the Night,0.583,0.652,7.0,-6.255,1.0,0.0244,0.0405,0.000378,0.0781,0.352,97.469,4.0
Gone,0.704,0.409,11.0,-8.581,1.0,0.0597,0.43,0.03046073657362849,0.109,0.495,113.863,4.0
Dilemma,0.727,0.552,2.0,-8.074,1.0,0.14,0.227,0.000164,0.198,0.607,168.189,4.0
Without Me,0.908,0.669,7.0,-2.827,1.0,0.0738,0.00286,0.03046073657362849,0.237,0.662,112.238,4.0
Complicated,0.585,0.776,5.0,-5.898,1.0,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,4.0
A Thousand Miles,0.56,0.825,11.0,-3.862,1.0,0.0379,0.323,0.03046073657362849,0.161,0.268,94.931,4.0
Wherever You Will Go,0.558,0.719,2.0,-5.113,1.0,0.0267,0.0367,0.03046073657362849,0.115,0.371,112.027,4.0
